long_bias,days,offset,final_equity,total_return_pct,cagr_pct,max_dd_pct,sharpe_ratio,total_trades,win_rate_pct,profit_factor
0,4,3,-20375.0,-101.35833333333333,0.0,107.12673874237986,-0.12416697110315171,3021,28.401191658391262,0.8442186491644418
4,5,3,-43839.99999993089,-102.92266666666205,0.0,102.1488718678851,0.23738253824313169,3057,32.482826300294406,0.977225199965973
3,8,5,-108527.49999999638,-107.23516666666642,0.0,110.42528555343864,-0.1731934835103259,3106,30.457179652285898,0.909474214446116
3,7,5,-70880.00000002958,-104.72533333333531,0.0,131.00246563382018,0.29221770828426763,3075,31.154471544715445,0.9288030058880268
3,6,5,-48194.99999998874,-103.21299999999924,0.0,127.15483322371533,0.08264177162131713,3354,31.3953488372093,0.9468966639670917
3,10,4,-608655.0000000007,-140.57700000000006,0.0,117.82161004337412,0.2032315382870317,3391,30.61043939840755,0.8704906681139919
3,7,4,-86992.5000000036,-105.79950000000022,0.0,119.26256684429077,-0.29523716229200625,3096,30.523255813953487,0.917562802510031
3,6,4,-125795.00000002055,-108.38633333333469,0.0,147.8255589319377,0.428177865391771,3561,30.49705139005897,0.94696824932422
3,5,4,-81057.49999999792,-105.40383333333318,0.0,115.9594147738324,-0.1329430890607954,3371,31.622663897953128,0.9390952883920485
3,9,3,-39337.50000003023,-102.62250000000202,0.0,101.39102066707868,0.2643931658326841,2815,34.1740674955595,0.928146408311163
3,8,3,-35997.50000000589,-102.39983333333372,0.0,103.99171972990058,-0.09882927824792237,3082,34.133679428942244,0.9269521283983808
3,7,3,-8369.99999996763,-100.55799999999783,0.0,107.18447031590365,0.2006172712866241,2828,32.35502121640735,0.9359087846660279
3,6,3,-24914.999999992215,-101.66099999999949,0.0,104.63721285101875,0.5198110466097087,2793,31.97278911564626,0.9516119170757181
3,5,3,-61205.00000001522,-104.08033333333435,0.0,102.26021370568307,-0.2739781735313403,3111,32.401157184185145,0.9657597075884528
0,5,3,-31140.000000007218,-102.07600000000048,0.0,103.96307135915697,-0.18367125510561494,2916,29.32098765432099,0.8322248797471001
2,9,5,-167722.49999999846,-111.18149999999989,0.0,113.27243909813004,0.1895672139342398,2822,30.758327427356484,0.8681946176866402
2,8,5,-69619.99999999616,-104.64133333333308,0.0,109.4214906111577,-0.08259931141139544,2993,29.268292682926827,0.8525495530666782
2,7,5,-63097.49999999825,-104.20649999999986,0.0,133.67380122150658,-0.07819040798724189,2987,30.833612320053565,0.8884433226008217
2,6,5,-24687.49999999388,-101.64583333333293,0.0,129.88363360755855,0.2762130049077293,3241,30.76211045973465,0.9204300651493402
2,10,4,-273505.00000001,-118.23366666666732,0.0,114.40275215519794,0.15202994905748,3085,30.243111831442466,0.804352618017213
2,9,4,-9042.499999992684,-100.60283333333284,0.0,119.99364291521208,0.13695764499245575,2586,32.79195668986852,0.8529723548970655
4,4,3,-48637.49999999506,-103.24249999999968,0.0,102.45939773990212,0.16627705707182,3195,31.3302034428795,0.9640248827068609
4,6,3,-109772.50000002362,-107.31816666666822,0.0,104.47597569145535,0.26169543578032173,2972,31.52759084791386,0.9651613862336859
2,7,4,-67470.00000000307,-104.4980000000002,0.0,122.03386901107305,-0.26408720642241174,2818,29.701916252661466,0.8598471368528772
4,8,3,-37702.5000000117,-102.51350000000076,0.0,106.64569564850564,0.2666199358273443,3090,34.72491909385113,0.9498155299983596
5,8,5,-137859.999999968,-109.19066666666453,0.0,120.11137145971638,0.3982301664388013,3441,30.717814588782332,0.9548671367537636
5,7,5,-23447.500000030945,-101.56316666666874,0.0,122.45314167381498,0.14005516976068566,3040,32.33552631578947,0.9556386699411473
5,6,5,-29034.999999983724,-101.93566666666558,0.0,121.24767611007809,0.19343405760054036,3382,31.49024246008279,0.9646669561890467
5,10,4,-1488807.5000000412,-199.25383333333605,0.0,124.32188724732305,0.36761669572125844,3588,29.8494983277592,0.9099081853577243
