date,equity,equity_no_filter,position,vix,vix_filter,peak,drawdown,peak_no_filter,drawdown_no_filter
2010-01-04 14:45:00,1500000.0,1500000.0,0.0,20.04000092,False,1500000.0,0.0,1500000.0,0.0
2010-01-05 14:45:00,1500000.0,1500000.0,0.0,19.35000038,True,1500000.0,0.0,1500000.0,0.0
2010-01-06 14:45:00,1500000.0,1500000.0,0.0,19.15999985,True,1500000.0,0.0,1500000.0,0.0
2010-01-07 14:45:00,1500000.0,1500000.0,0.0,19.05999947,True,1500000.0,0.0,1500000.0,0.0
2010-01-08 14:45:00,1500000.0,1500000.0,0.0,18.12999916,True,1500000.0,0.0,1500000.0,0.0
2010-01-11 14:45:00,1500000.0,1500000.0,0.0,17.54999924,True,1500000.0,0.0,1500000.0,0.0
2010-01-12 14:45:00,1500000.0,1500000.0,0.0,18.25,True,1500000.0,0.0,1500000.0,0.0
2010-01-13 14:45:00,1500000.0,1500000.0,0.0,17.85000038,True,1500000.0,0.0,1500000.0,0.0
2010-01-14 14:45:00,1500000.0,1500000.0,0.0,17.62999916,True,1500000.0,0.0,1500000.0,0.0
2010-01-15 14:45:00,1500000.0,1500000.0,0.0,17.90999985,True,1500000.0,0.0,1500000.0,0.0
2010-01-19 14:45:00,1498365.0,1498365.0,109.0,17.57999992,True,1500000.0,0.109,1500000.0,0.109
2010-01-20 14:45:00,1434252.5,1434252.5,104.0,18.68000031,True,1500000.0,4.383166666666667,1500000.0,4.383166666666667
2010-01-21 14:45:00,1316992.5,1318432.5,0.0,22.27000046,False,1500000.0,12.2005,1500000.0,12.1045
2010-01-22 14:45:00,1316992.5,1200757.5,0.0,27.30999947,False,1500000.0,12.2005,1500000.0,19.9495
2010-01-25 14:45:00,1316992.5,1225692.5,0.0,25.40999985,False,1500000.0,12.2005,1500000.0,18.287166666666664
2010-01-26 14:45:00,1316992.5,1204127.5,0.0,24.54999924,False,1500000.0,12.2005,1500000.0,19.724833333333333
2010-01-27 14:45:00,1316992.5,1221547.5,0.0,23.13999939,False,1500000.0,12.2005,1500000.0,18.563499999999998
2010-01-28 14:45:00,1316992.5,1187432.5,0.0,23.72999954,False,1500000.0,12.2005,1500000.0,20.837833333333332
2010-01-29 14:45:00,1316992.5,1146355.0,0.0,24.62000084,False,1500000.0,12.2005,1500000.0,23.57633333333333
2010-02-01 14:45:00,1316992.5,1204630.0,0.0,22.59000015,False,1500000.0,12.2005,1500000.0,19.691333333333333
2010-02-02 14:45:00,1316992.5,1256250.0,0.0,21.47999954,False,1500000.0,12.2005,1500000.0,16.25
2010-02-03 14:45:00,1316992.5,1239020.0,0.0,21.60000038,False,1500000.0,12.2005,1500000.0,17.398666666666667
2010-02-04 14:45:00,1316992.5,1154005.0000000002,0.0,26.07999992,False,1500000.0,12.2005,1500000.0,23.066333333333315
2010-02-05 14:45:00,1316992.5,1161579.9999999998,0.0,26.11000061,False,1500000.0,12.2005,1500000.0,22.56133333333335
2010-02-08 14:45:00,1316992.5,1137064.9999999998,0.0,26.51000023,False,1500000.0,12.2005,1500000.0,24.195666666666682
2010-02-09 14:45:00,1316992.5,1174832.5,0.0,26.0,False,1500000.0,12.2005,1500000.0,21.677833333333332
2010-02-10 14:45:00,1316992.5,1167537.4999999998,0.0,25.39999962,False,1500000.0,12.2005,1500000.0,22.16416666666668
2010-02-11 14:45:00,1316992.5,1198310.0,0.0,23.95999908,False,1500000.0,12.2005,1500000.0,20.11266666666667
2010-02-12 14:45:00,1316992.5,1195409.9999999998,0.0,22.72999954,False,1500000.0,12.2005,1500000.0,20.306000000000015
2010-02-16 14:45:00,1316992.5,1241774.9999999993,0.0,22.25,False,1500000.0,12.2005,1500000.0,17.215000000000046
2010-02-17 14:45:00,1316992.5,1260444.999999999,0.0,21.71999931,False,1500000.0,12.2005,1500000.0,15.970333333333395
2010-02-18 14:45:00,1316992.5,1283409.9999999993,0.0,20.62999916,False,1500000.0,12.2005,1500000.0,14.439333333333378
2010-02-19 14:45:00,1316992.5,1290864.999999999,0.0,20.02000046,False,1500000.0,12.2005,1500000.0,13.942333333333396
2010-02-22 14:45:00,1315612.5,1288734.999999999,92.0,19.94000053,True,1500000.0,12.2925,1500000.0,14.084333333333396
2010-02-23 14:45:00,1252132.5,1227834.999999999,0.0,21.37000084,False,1500000.0,16.5245,1500000.0,18.144333333333396
2010-02-24 14:45:00,1252132.5,1269639.9999999998,0.0,20.27000046,False,1500000.0,16.5245,1500000.0,15.357333333333347
2010-02-25 14:45:00,1252132.5,1263737.4999999995,0.0,20.10000038,False,1500000.0,16.5245,1500000.0,15.750833333333365
2010-02-26 14:45:00,1250752.5,1266137.4999999993,92.0,19.5,True,1500000.0,16.616500000000002,1500000.0,15.590833333333379
2010-03-01 14:45:00,1303592.4999999995,1320142.4999999995,96.0,19.26000023,True,1500000.0,13.093833333333366,1500000.0,11.990500000000031
2010-03-02 14:45:00,1315502.4999999998,1332177.4999999995,90.0,19.05999947,True,1500000.0,12.299833333333348,1500000.0,11.188166666666698
2010-03-03 14:45:00,1322207.4999999998,1338972.4999999998,87.0,18.82999992,True,1500000.0,11.852833333333349,1500000.0,10.735166666666682
2010-03-04 14:45:00,1337417.4999999998,1354547.4999999998,88.0,18.71999931,True,1500000.0,10.83883333333335,1500000.0,9.696833333333348
2010-03-05 14:45:00,1408782.5,1426724.9999999998,97.0,17.42000008,True,1500000.0,6.081166666666666,1500000.0,4.885000000000016
2010-03-08 14:45:00,1407555.0000000002,1425469.9999999993,98.0,17.79000092,True,1500000.0,6.162999999999984,1500000.0,4.968666666666714
2010-03-09 14:45:00,1417340.0000000002,1435439.999999999,97.0,17.92000008,True,1500000.0,5.510666666666651,1500000.0,4.3040000000000616
2010-03-10 14:45:00,1441500.0000000002,1459834.999999999,103.0,18.56999969,True,1500000.0,3.899999999999985,1500000.0,2.677666666666729
2010-03-11 14:45:00,1468462.5000000005,1487307.4999999993,98.0,18.05999947,True,1500000.0,2.102499999999969,1500000.0,0.8461666666667133
2010-03-12 14:45:00,1443902.5000000002,1462497.4999999993,94.0,17.57999992,True,1500000.0,3.739833333333318,1500000.0,2.5001666666667135
2010-03-15 14:45:00,1447232.5000000012,1465864.9999999998,107.0,18.0,True,1500000.0,3.5178333333332557,1500000.0,2.275666666666682
2010-03-16 14:45:00,1495277.5000000014,1514359.9999999993,114.0,17.69000053,True,1500000.0,0.3148333333332402,1514359.9999999993,0.0
2010-03-17 14:45:00,1535147.5000000014,1554579.999999999,112.0,16.90999985,True,1535147.5000000014,0.0,1554579.999999999,0.0
2010-03-18 14:45:00,1529487.5000000014,1548854.9999999977,116.0,16.62000084,True,1535147.5000000014,0.36869421342248837,1554579.999999999,0.3682666700974797
