final_equity,total_return_pct,cagr_pct,max_dd_pct,sharpe_ratio,total_trades,win_rate_pct,profit_factor,levamount,long_bias,low_vol_offset,low_vol_days,high_vol_offset,high_vol_days
299000317.5,19833.354499999998,40.78518740320589,77.37189279645793,0.8427184942826813,3911,35.59192022500639,1.5976247463790108,5,4,5,9,1,5
291678792.49999905,19345.25283333327,40.559890186941,77.42006035445202,0.840156368724106,3913,37.132634807053414,1.5638014375694929,5,4,4,9,1,5
270580399.9999988,17938.693333333253,39.87974797386797,77.38099300990025,0.8328571811535554,3911,36.61467655331118,1.5523123294060706,5,4,4,10,1,5
263475584.9999996,17465.03899999997,39.6395066846823,77.35377191718442,0.8301099203475097,3909,36.83806600153492,1.5727350145416856,5,4,3,9,1,5
251902254.99999815,16693.483666666543,39.23487643494843,79.94672325262651,0.8092773930922667,3893,37.27202671461598,1.4624176098965413,8,4,4,9,1,5
250296472.49999866,16586.431499999908,39.177366174845574,79.9419115403228,0.8087594108483328,3921,35.98571792909972,1.4782145401819453,8,4,5,9,1,5
248925872.5000013,16495.058166666753,39.12800519146813,77.44434822196227,0.8246454883232205,3898,37.352488455618264,1.5647327635893298,5,4,3,10,1,5
237932230.0000003,15762.148666666686,38.72261939832595,79.82156359634358,0.8043109606789538,3904,37.16700819672131,1.4804183790080185,8,4,3,9,1,5
226704529.99999973,15013.635333333315,38.290100029230615,79.91029314780032,0.8001892498015531,3903,37.12528823981553,1.4382948175479704,8,4,4,10,1,5
223919777.49999994,14827.985166666662,38.179725300773136,80.09481716679227,0.7986542940621848,3895,37.2785622593068,1.4411209821171151,10,4,4,9,1,5
223545965.00000018,14803.064333333345,38.16481146253115,80.67836153617193,0.7985583492425723,3920,36.0204081632653,1.4588901664787661,10,4,5,9,1,5
220768959.9999991,14617.930666666607,38.05328243075265,80.12445551268114,0.7967776576322758,3894,37.26245505906523,1.4234588681100964,12,4,4,9,1,5
220313145.00000063,14587.543000000042,38.034850896597284,80.71253969968659,0.7966712621387383,3920,36.0204081632653,1.4406098544120451,12,4,5,9,1,5
215872782.50000018,14291.518833333344,37.85340825836316,79.84546039922752,0.795924096056814,3900,37.61538461538462,1.4593276454009017,8,4,3,10,1,5
211922107.50000036,14028.140500000023,37.68901617526132,80.85672867586882,0.7930251605438969,3894,37.28813559322034,1.39468824008738,18,4,4,9,1,5
211922107.50000036,14028.140500000023,37.68901617526132,80.85672867586882,0.7930251605438969,3894,37.28813559322034,1.39468824008738,20,4,4,9,1,5
211874532.49999952,14024.968833333302,37.68701911187649,81.4512347915822,0.7930792772583726,3921,36.03672532517215,1.4110566547054677,20,4,5,9,1,5
211874532.49999952,14024.968833333302,37.68701911187649,81.4512347915822,0.7930792772583726,3921,36.03672532517215,1.4110566547054677,18,4,5,9,1,5
209778594.99999967,13885.239666666643,37.59861864989127,79.9213413163779,0.7930575399411331,3901,37.19559087413484,1.4548817450495724,10,4,3,9,1,5
208358174.99999893,13790.54499999993,37.53823862731134,80.85178607528269,0.7917044750848076,3895,37.30423620025674,1.3944250762337793,15,4,4,9,1,5
208051500.00000024,13770.100000000017,37.52515178561491,81.4468145343406,0.7916598667906116,3921,36.03672532517215,1.4106421430318075,15,4,5,9,1,5
206827272.4999997,13688.484833333314,37.4727295019502,79.95884756648535,0.791235083489647,3903,37.22777350755829,1.43607512381192,12,4,3,9,1,5
200060350.00000015,13237.356666666676,37.17762137034375,80.21376082011254,0.7890787032862135,3903,37.12528823981553,1.4154017211469994,10,4,4,10,1,5
198740047.50000125,13149.336500000083,37.118955671579236,80.62031078711003,0.7876032805321207,3903,37.22777350755829,1.405785312118327,18,4,3,9,1,5
198740047.50000125,13149.336500000083,37.118955671579236,80.62031078711003,0.7876032805321207,3903,37.22777350755829,1.405785312118327,20,4,3,9,1,5
197203792.4999997,13046.919499999982,37.050233803940394,80.23906019031918,0.7872826001227838,3902,37.109174782162995,1.3983846611380557,12,4,4,10,1,5
195314840.00000045,12920.989333333364,36.96504484823955,80.6207168882787,0.7862507594447021,3901,37.221225326839274,1.4054443074693526,15,4,3,9,1,5
190577845.00000045,12605.189666666696,36.74797576171969,80.03598882798619,0.7849172310503699,3902,37.621732444900054,1.434259430176365,10,4,3,10,1,5
189417487.50000042,12527.832500000028,36.69403407159149,81.01289157790006,0.7836373646230254,3902,37.13480266529985,1.3710301184068565,20,4,4,10,1,5
189417487.50000042,12527.832500000028,36.69403407159149,81.01289157790006,0.7836373646230254,3902,37.13480266529985,1.3710301184068565,18,4,4,10,1,5
187548365.0000003,12403.224333333352,36.60649051626288,80.07125963747083,0.7830255141800062,3900,37.641025641025635,1.4154987597239341,12,4,3,10,1,5
186130117.50000015,12308.67450000001,36.53951820481658,81.0169739355125,0.7822769767501404,3904,37.14139344262295,1.3705703173295127,15,4,4,10,1,5
180270452.4999996,11918.03016666664,36.25765537687058,80.79293062859752,0.7794605515366171,3900,37.641025641025635,1.3860464127996035,18,4,3,10,1,5
180270452.4999996,11918.03016666664,36.25765537687058,80.79293062859752,0.7794605515366171,3900,37.641025641025635,1.3860464127996035,20,4,3,10,1,5
177380035.0000001,11725.335666666673,36.11544875837473,80.78436927258728,0.7782045529528749,3900,37.641025641025635,1.3860068687358316,15,4,3,10,1,5
169668277.50000018,11211.218500000012,35.72515341883506,69.96732366224741,0.8262237880719303,3919,35.64684868588926,1.5478959401546006,5,3,5,9,1,5
162785355.00000063,10752.357000000042,35.36252836982634,69.83779676339842,0.8214854658492933,3908,37.00102354145343,1.5074315156263878,5,3,4,9,1,5
157994937.4999998,10432.99583333332,35.1015816157789,72.64340255398653,0.7942801514296649,3900,37.07692307692308,1.4869451102965132,8,3,4,9,1,5
156233137.49999997,10315.542499999998,35.003746734838884,73.46012055323874,0.7928709474939428,3915,35.887611749680715,1.5013341791433135,8,3,5,9,1,5
