final_equity,total_return_pct,cagr_pct,max_dd_pct,sharpe_ratio,total_trades,win_rate_pct,profit_factor,long_bias,low_vol_offset,low_vol_days,high_vol_offset,high_vol_days,low_vol_bars,high_vol_bars
179758669.99999884,11883.911333333257,36.23263213725754,79.79588614169946,0.7771539479465799,3887,36.66066375096476,1.5469234940587333,4,3,9,1,5,3257,742
178481337.49999952,11798.755833333302,36.16988596400312,79.51844949800476,0.7764438186486909,3908,35.87512794268168,1.5381291564511712,4,5,9,1,5,3257,742
169092662.4999999,11172.84416666666,35.69535959309405,86.12303008133969,0.7795380215051484,3915,35.53001277139208,1.4548198839381101,5,5,9,1,5,3257,742
168013447.50000006,11100.896500000004,35.63924285426292,86.20775078078088,0.7790925954484431,3899,36.522185175686076,1.4430732944878601,5,3,9,1,5,3257,742
159896187.49999923,10559.745833333282,35.20602204778742,79.9535269655374,0.7671065809524086,3911,36.53796982868832,1.4599657617636224,4,3,8,1,5,3257,742
158430859.9999998,10462.05733333332,35.125631399472226,79.74218125960093,0.7662675840091429,3890,36.86375321336761,1.4680591676309032,4,4,9,1,5,3257,742
150888344.999998,9959.222999999867,34.700499729292474,86.27011978748024,0.7716380000658789,3895,36.405648267008985,1.3805754697770467,5,4,9,1,5,3257,742
148929439.99999884,9828.629333333256,34.586835847583686,86.38672930742469,0.7706285986604556,3916,36.235955056179776,1.375145087537445,5,3,8,1,5,3257,742
145100647.50000048,9573.376500000031,34.360576624795726,79.77620198894573,0.7587219018159607,3924,35.47400611620795,1.4227392927239104,4,5,8,1,5,3257,742
142795139.99999937,9419.67599999996,34.22162548254026,79.72493853050611,0.75746621797865,3886,36.87596500257334,1.4700006491051618,4,3,10,1,5,3257,742
139105139.99999928,9173.675999999952,33.99480338936607,86.21249021673995,0.7659520440152595,3924,35.423037716615696,1.3574173721618115,5,5,8,1,5,3257,742
138258975.00000143,9117.265000000096,33.94199743311255,81.71663968224703,0.7444535362763767,3911,36.97264126821785,1.3427386391316178,4,3,9,1,4,3257,742
138147034.99999902,9109.802333333268,33.934989052724006,82.96453821110894,0.7444108429115068,3926,36.169128884360674,1.3472478198625397,4,5,9,1,4,3257,742
133342439.99999955,8789.49599999997,33.629059720477336,79.96697616540617,0.751527265317975,3901,36.47782619841066,1.3746175939256413,4,4,8,1,5,3257,742
133335354.9999996,8789.023666666639,33.62860102170417,86.09125637557618,0.7630023571347343,3882,35.883565172591446,1.3749570514595613,5,3,10,1,5,3257,742
132830130.00000016,8755.342000000011,33.59583270017408,79.23429900967785,0.7512042904393841,3879,36.787831915442126,1.4577356995617177,4,5,10,1,5,3257,742
132324330.00000021,8721.622000000014,33.56291009294958,80.05752327305186,0.7511435613010502,3930,35.470737913486005,1.3425286667778094,4,3,6,1,5,3257,742
131474695.00000016,8664.979666666677,33.50734134189936,83.75488232168765,0.7392881862767303,3863,36.57778928294072,1.7714650260500182,4,3,9,2,5,3257,742
130040509.99999999,8569.367333333332,33.412774630046414,83.49733903477397,0.7383484661878378,3896,35.98562628336756,1.7539717762086817,4,5,9,2,5,3257,742
129230139.99999928,8515.34266666662,33.35890852763641,81.94015461057573,0.7492465832408347,3934,34.799186578546006,1.3345624753717804,4,3,5,1,5,3257,742
129058862.50000009,8503.924166666673,33.347483104211136,88.94928009555592,0.7581482814751324,3921,35.909206834991075,1.2859455076589417,5,5,9,1,4,3257,742
127948242.4999989,8429.882833333259,33.27305086868799,88.20270048314556,0.7575776587972706,3910,36.95652173913043,1.2725575004997525,5,3,9,1,4,3257,742
127692507.49999988,8412.833833333327,33.25582627772559,88.80641901153423,0.7505095357521016,3889,35.81897660066855,1.6724389571059455,5,5,9,2,5,3257,742
