final_equity,total_return_pct,cagr_pct,max_dd_pct,sharpe_ratio,total_trades,win_rate_pct,profit_factor,low_vol_bias,high_vol_bias,low_vol_offset,low_vol_days,high_vol_offset,high_vol_days,low_vol_bars,high_vol_bars
112688317.5000005,7412.554500000035,32.184094775151564,76.07198176239774,0.7475294127996915,3901,35.96513714432197,1.3342838210621453,5,2,5,9,1,5,2791,1208
112058674.99999969,7370.578333333313,32.136256413624565,75.86012185385623,0.7469207472868734,3893,36.398664269201134,1.3187425997790707,5,2,4,9,1,5,2791,1208
109297695.00000016,7186.513000000011,31.923471783648317,72.63607550750129,0.7575407554759709,3883,36.74993561679114,1.361125541018591,4,2,4,9,1,5,2791,1208
108587452.49999897,7139.163499999931,31.867921587109137,75.91978202618803,0.743825898106372,3904,36.6547131147541,1.309837802819445,5,2,4,8,1,5,2791,1208
107934870.0000003,7095.65800000002,31.816580734322365,72.87872672144272,0.7560215953717355,3911,35.97545384812069,1.3797839582520306,4,2,5,9,1,5,2791,1208
107752207.49999957,7083.4804999999715,31.802158050950258,76.46962627897894,0.7431653873082177,3912,36.04294478527607,1.3347252406968177,5,2,5,8,1,5,2791,1208
105863162.50000149,6957.544166666766,31.65164645141878,76.51657979448466,0.7409438362833358,3923,35.0497068569972,1.26320867574092,5,2,4,6,1,5,2791,1208
105248582.4999997,6916.572166666647,31.602137208209967,72.69346264782442,0.7534052822999071,3902,36.36596617119426,1.351993332525382,4,2,4,8,1,5,2791,1208
105000497.49999973,6900.033166666648,31.582075364001906,73.01988163191001,0.7528647387869029,3928,35.997963340122205,1.3771721136014254,4,2,5,8,1,5,2791,1208
103902615.00000039,6826.841000000026,31.49275743320894,75.75749093135832,0.7395922765507545,3899,36.21441395229546,1.3258992001046457,5,2,3,9,1,5,2791,1208
101082007.49999942,6638.800499999961,31.259175629349233,77.36290016417523,0.7365152198807299,3952,33.57793522267207,1.2962526855850638,5,2,5,6,1,5,2791,1208
100785397.50000049,6619.026500000033,31.234259374594366,73.35509150498196,0.7474716793012195,3922,35.13513513513514,1.2991569898975126,4,2,4,6,1,5,2791,1208
100458927.50000027,6597.261833333351,31.20675535674109,72.54309314861315,0.7484330497259747,3879,36.76205207527713,1.3662670309637994,4,2,3,9,1,5,2791,1208
100224945.00000012,6581.663000000008,31.186991622836068,75.80228851764738,0.7360824872481939,3888,36.882716049382715,1.320029413170837,5,2,3,8,1,5,2791,1208
100200990.00000094,6580.066000000062,31.184965787738903,75.07284260545461,0.736266206071947,3886,35.89809572825528,1.3016233672696933,5,2,4,10,1,5,2791,1208
98560672.50000088,6470.711500000059,31.045157758959597,75.65143883918411,0.7347437051217358,3903,35.58800922367409,1.3151384716865153,5,2,5,10,1,5,2791,1208
98323712.4999999,6454.91416666666,31.02478144605314,71.77410175848607,0.7462269485563598,3891,36.700077101002314,1.3424867662259061,4,2,4,10,1,5,2791,1208
97088325.0000001,6372.555000000007,30.91780007204452,74.26491518533058,0.7426786351563799,3945,33.43472750316857,1.333119834392809,4,2,5,6,1,5,2791,1208
96672485.0000005,6344.8323333333665,30.88150280829227,72.570685591039,0.7442478238326626,3879,36.68471255478216,1.3621904663374804,4,2,3,8,1,5,2791,1208
96626157.50000031,6341.743833333354,30.877450000288388,76.40895105363225,0.7319507624233013,3914,35.46244251405212,1.2647815037527048,5,2,4,7,1,5,2791,1208
95393457.49999972,6259.5638333333145,30.768938216348385,71.83418615977526,0.7428485655492054,3876,36.45510835913313,1.3558374619950362,4,2,5,10,1,5,2791,1208
94234897.4999999,6182.326499999993,30.665750437986937,75.09111172078448,0.7302948772494009,3881,35.7124452460706,1.310330235225957,5,2,3,10,1,5,2791,1208
93224437.49999994,6114.962499999996,30.57477980511212,73.21679773859402,0.7393288842451543,3912,35.557259713701434,1.2994133526781921,4,2,4,7,1,5,2791,1208
92918435.00000077,6094.562333333385,30.547048740187478,76.18989402611811,0.7285611318594415,3918,35.80908626850434,1.2797573492163066,5,2,3,6,1,5,2791,1208
92523945.00000009,6068.263000000006,30.511172291287725,71.78607224728177,0.7396539586925321,3859,36.95257838818347,1.3530465256802187,4,2,3,10,1,5,2791,1208
91067570.00000006,5971.171333333337,30.377472947494,76.96476068616931,0.7262453957483141,3927,35.064935064935064,1.2754526566796156,5,2,5,7,1,5,2791,1208
90966884.9999999,5964.458999999993,30.368156020893533,72.99459920190297,0.736794638149241,3924,35.75433231396534,1.3180343472089049,4,2,3,6,1,5,2791,1208
90044457.50000022,5902.963833333348,30.28234695383376,69.11496058841703,0.7550102984311264,3879,36.2980149523073,1.3933174914619773,3,2,4,9,1,5,2791,1208
89962969.99999988,5897.531333333325,30.27472707819523,69.37128559581798,0.7545939511277225,3896,35.497946611909654,1.4075587381991754,3,2,5,9,1,5,2791,1208
89506214.99999973,5867.080999999982,30.23189614474766,76.17217282018169,0.724689811703459,3916,35.85291113381001,1.2768110336591696,5,2,3,7,1,5,2791,1208
88279002.50000016,5785.266833333344,30.115796967391727,73.84429055947086,0.7328622247918806,3926,35.277636271013755,1.3089106165542754,4,2,5,7,1,5,2791,1208
87065027.49999997,5704.335166666665,29.999455133742046,72.96698256249806,0.7321766812124119,3894,36.23523369286082,1.3152556409902416,4,2,3,7,1,5,2791,1208
87047625.0,5703.175,29.997776351169115,69.15690381399172,0.7508226313804846,3897,35.9250705671029,1.3844793441752403,3,2,4,8,1,5,2791,1208
86826695.00000025,5688.44633333335,29.976436363256088,69.51599903139837,0.7498700476804064,3914,35.360245273377615,1.4081896842651878,3,2,5,8,1,5,2791,1208
85570187.49999945,5604.67916666663,29.854093699738836,80.74070663110915,0.7073820752489473,3895,36.71373555840822,1.1985960181202504,5,2,4,9,1,4,2791,1208
