final_equity,total_return_pct,cagr_pct,max_dd_pct,sharpe_ratio,total_trades,win_rate_pct,profit_factor,long_bias,low_vol_offset,low_vol_days,high_vol_offset,high_vol_days,low_vol_bars,high_vol_bars
234366304.99999964,15524.42033333331,38.58735804248945,84.26744753317966,0.8008341203985165,3923,36.01835330104512,1.5336507788811924,4,5,9,1,5,2846,1153
227979147.50000036,15098.609833333356,38.340197500667195,84.6165290051894,0.7985700804668695,3932,36.03763987792472,1.5313106939427104,4,5,8,1,5,2846,1153
219611735.0000007,14540.78233333338,38.006418581193046,90.19925944700958,0.8004975934462409,3924,35.62691131498471,1.4365101127008257,5,5,9,1,5,2846,1153
217632535.0,14408.835666666668,37.925729415012995,90.41980321386718,0.7999716950686124,3926,35.65970453387672,1.4332765043407205,5,5,8,1,5,2846,1153
214401312.49999914,14193.420833333275,37.79251013899243,83.32819308280081,0.7931945414639854,3906,37.40399385560676,1.4762161443809274,4,4,9,1,5,2846,1153
209745847.50000054,13883.056500000035,37.597230912854805,84.25752544433509,0.7915492700534282,3908,37.4360286591607,1.4823084772587827,4,5,10,1,5,2846,1153
206483674.99999878,13665.578333333253,37.45796425106362,83.03619695630888,0.7900292606253869,3901,37.11868751602153,1.4962073835789227,4,3,9,1,5,2846,1153
203795477.50000072,13486.365166666716,37.341645845376604,83.43922522332582,0.7889573384210374,3922,36.76695563488016,1.4533175475405633,4,4,8,1,5,2846,1153
201144704.9999994,13309.64699999996,37.2255328583353,89.60572481376381,0.7942049396499489,3907,36.524187356027646,1.3828045100459276,5,4,9,1,5,2846,1153
197776539.99999952,13085.102666666635,37.07591308807019,83.06369180113523,0.7864216443766952,3909,36.94039396265029,1.4857519814936684,4,3,8,1,5,2846,1153
197378627.50000194,13058.575166666797,37.0580799664461,90.20037070484238,0.7932775772092259,3918,36.217457886676875,1.3846357676314627,5,5,10,1,5,2846,1153
197231137.50000128,13048.742500000086,37.051461409082044,83.49720081145959,0.7862760140599957,3909,37.57994371962139,1.430897859462299,4,4,10,1,5,2846,1153
193880569.99999818,12825.37133333321,36.899845097165596,89.68294813450616,0.7917158618576883,3911,36.640245461518795,1.3656666196016123,5,4,8,1,5,2846,1153
192749819.99999928,12749.987999999952,36.84812406722311,89.42265354460206,0.791146290731164,3905,36.5685019206146,1.3980433021056258,5,3,9,1,5,2846,1153
191379255.00000083,12658.617000000055,36.78505194273991,83.20154705408572,0.7837089006432026,3887,37.664008232570104,1.4522469142887162,4,3,10,1,5,2846,1153
185883087.49999967,12292.205833333312,36.527804195786075,89.71327189828231,0.7889829375392902,3908,36.6171954964176,1.3442294590399846,5,4,10,1,5,2846,1153
185109367.50000048,12240.62450000003,36.491020413613626,89.44317281465796,0.788337272011801,3913,36.544850498338874,1.3881138992387108,5,3,8,1,5,2846,1153
178859215.00000104,11823.947666666736,36.18849200809579,89.5382466482586,0.7862012747009604,3891,36.237471087124135,1.3590994436840074,5,3,10,1,5,2846,1153
175317245.0000001,11587.81633333334,36.01262922959523,84.51852953840485,0.7646496217914874,3895,36.09756097560975,1.7509248481204507,4,5,9,2,5,2846,1153
172941327.5000008,11429.421833333387,35.89279013174842,89.68914838488628,0.7738227435670946,3912,35.940695296523515,1.6644465524496068,5,5,9,2,5,2846,1153
168978457.49999955,11165.23049999997,35.68943706686054,89.80264037504342,0.7723935063058937,3914,35.973428717424625,1.6542191237359691,5,5,8,2,5,2846,1153
168181947.5000006,11112.129833333373,35.64802664563371,84.7857351681594,0.7613210640224681,3925,36.0,1.7395389064473283,4,5,8,2,5,2846,1153
167969247.49999908,11097.949833333272,35.63693737382929,88.77532400200333,0.7621647238867257,3926,36.55119714722363,1.3227390847363272,4,5,9,1,4,2846,1153
163297002.50000027,10786.466833333352,35.38997321617665,89.03264795869981,0.7600135083351791,3942,36.22526636225266,1.3222554900147758,4,5,8,1,4,2846,1153
163041732.5000006,10769.448833333374,35.376290566432345,92.70352659251732,0.7769036014936973,3936,36.40752032520325,1.2697715206981068,5,5,9,1,4,2846,1153
161550137.50000075,10670.009166666716,35.29593713288601,83.69163887967085,0.7578171811576642,3887,37.12374581939799,1.677489845693521,4,4,9,2,5,2846,1153
160128522.5,10575.234833333334,35.21870504855818,92.8713266604266,0.7758234870013535,3935,36.36594663278272,1.2689553724105571,5,5,8,1,4,2846,1153
160122297.5000009,10574.819833333393,35.21836545476435,89.27496462517732,0.7684283845051959,3891,36.77717810331534,1.5909618129161405,5,4,9,2,5,2846,1153
159713944.99999988,10547.596333333326,35.19606149084853,76.26084939092162,0.789555088547399,3919,35.69788211278387,1.5611922121976625,3,5,9,1,5,2846,1153
155875262.49999943,10291.684166666628,34.98374746417525,84.73508668823384,0.7551366677722121,3881,37.309971656789486,1.6840438525290509,4,5,10,2,5,2846,1153
155449854.99999917,10263.32366666661,34.959918300043505,89.85934065584436,0.7668258761023785,3898,36.35197537198563,1.593203564089543,5,5,10,2,5,2846,1153
155024945.00000015,10234.996333333344,34.936056033661785,76.78511779402004,0.7863196197962659,3929,35.27615169254263,1.5616093549475365,3,5,8,1,5,2846,1153
154432370.00000054,10195.49133333337,34.90267561309186,88.11078105880928,0.7553466221106817,3916,37.43615934627171,1.2824148921955256,4,4,9,1,4,2846,1153
153169614.99999982,10111.307666666655,34.83114166293211,83.74091794688216,0.7535113005206583,3905,36.5685019206146,1.6469119008704485,4,4,8,2,5,2846,1153
152634804.9999992,10075.653666666614,34.800678726635304,89.15317633927826,0.7650577182462348,3887,36.86647800360175,1.6123541844904923,5,3,9,2,5,2846,1153
151818172.49999955,10021.21149999997,34.75396992621638,83.67622369171728,0.7526918295965761,3877,36.98736136187774,1.7029847249529098,4,3,9,2,5,2846,1153
151370587.50000113,9991.372500000076,34.72826967872879,88.76731438919353,0.7540298790730493,3906,37.58320532514081,1.2902129497027344,4,5,10,1,4,2846,1153
150718870.00000045,9947.924666666697,34.69072078851014,89.28725044866839,0.7643746821011153,3893,36.78397123041356,1.5629448102774475,5,4,8,2,5,2846,1153
149165554.99999982,9844.370333333321,34.60061010524551,92.2703721548378,0.7707980336539759,3913,37.18374648607207,1.2326316316960546,5,4,9,1,4,2846,1153
148163042.5,9777.536166666667,34.541985273983265,87.90164259555046,0.7520051377671718,3902,37.44233726294208,1.2918972364244345,4,3,9,1,4,2846,1153
147659227.4999999,9743.948499999993,34.512382997506606,83.72243590830139,0.7504722731715638,3894,36.87724704673857,1.686749649279429,4,3,8,2,5,2846,1153
147095694.99999943,9706.37966666663,34.479159796756306,74.99396565980699,0.7811172690745323,3898,36.967675731144176,1.5117205554953381,3,4,9,1,5,2846,1153
146798967.50000063,9686.597833333375,34.461618272863134,88.19158915406996,0.7513951994445245,3920,36.98979591836735,1.2714989358453503,4,4,8,1,4,2846,1153
146061412.50000098,9637.427500000065,34.4178724290767,84.00179212239422,0.7497228854076214,3894,37.46789933230611,1.623347378553318,4,4,10,2,5,2846,1153
145801387.50000054,9620.092500000035,34.40240055545543,92.70036157128959,0.7697308725812095,3925,36.84076433121019,1.2376102988733502,5,5,10,1,4,2846,1153
144115205.0000005,9507.680333333366,34.30143931636482,89.13220351218573,0.7611521535162331,3884,36.68898043254377,1.5944430261125693,5,3,8,2,5,2846,1153
143407822.49999958,9460.521499999972,34.25875497244439,76.24134628578348,0.7784054336604992,3910,37.109974424552426,1.51655218935609,3,5,10,1,5,2846,1153
142654237.4999995,9410.282499999967,34.213065503699134,89.48574936736784,0.7608416523741074,3878,36.66838576585869,1.5350792652155936,5,4,10,2,5,2846,1153
142191630.00000018,9379.442000000012,34.18490588484862,92.13239928077937,0.7675016840193003,3916,37.461695607763026,1.2399319205544064,5,3,9,1,4,2846,1153
