final_equity,total_return_pct,cagr_pct,max_dd_pct,sharpe_ratio,total_trades,win_rate_pct,profit_factor,long_bias,low_vol_offset,low_vol_days,high_vol_offset,high_vol_days,low_vol_bars,high_vol_bars
345348822.5000011,22923.254833333405,42.10198709780906,79.43558745946368,0.7868612552727698,3879,36.5815931941222,1.3388619518374003,4,3,10,2,4,3612,387
343870985.0000027,22824.73233333351,42.062624477235474,87.19711942889194,0.7993900305400915,3910,35.42199488491048,1.2867001327136878,5,3,10,2,4,3612,387
330407764.99999774,21927.18433333318,41.69655687730361,87.76070848364043,0.7862064601430767,3937,34.8742697485395,1.3849976854840438,4,3,5,2,4,3612,387
316663917.4999993,21010.927833333288,41.30817487524969,91.50343651275254,0.7984160907901298,3934,34.44331469242501,1.3177106682486583,5,3,5,2,4,3612,387
300761602.4999947,19950.773499999646,40.838615015538984,89.22861715535063,0.7943586117467529,3920,36.35204081632653,1.2127938994999836,5,3,9,2,4,3612,387
299687377.5000027,19879.15850000018,40.80606392278887,82.5824953211159,0.7812246510972329,3917,36.76282869543018,1.2502658285877477,4,3,9,2,4,3612,387
296393362.50000286,19659.55750000019,40.705564020322484,80.82442507998093,0.7743723871108804,3910,36.26598465473146,1.2537169664881413,4,5,10,2,4,3612,387
294994782.4999987,19566.318833333247,40.66257724736704,88.06221426947087,0.7898770627467594,3933,35.774218154080856,1.2169946000290888,5,5,10,2,4,3612,387
266952885.0000008,17696.859000000055,39.75783487325635,75.44299821180486,0.7686680917488642,3903,36.35664873174481,1.340408646031849,4,3,10,2,3,3612,387
262365422.49999893,17391.028166666594,39.60142148526018,83.48364398854712,0.7869450350028755,3912,36.27300613496933,1.2019733456872363,4,3,10,1,4,3612,387
254479287.49999875,16865.285833333248,39.326458622678985,81.9617904716603,0.7841988235803361,3928,35.437881873727086,1.2833895366925736,5,3,10,2,3,3612,387
252717775.00000042,16747.851666666695,39.263952678497404,80.42149043859132,0.7682368786177433,3941,35.11799035777721,1.392085549043407,4,3,5,2,3,3612,387
248328754.99999964,16455.25033333331,39.10642096668864,88.08939329271331,0.7848243087035716,3951,34.92786636294609,1.2292780490434716,4,3,5,1,4,3612,387
243187332.4999984,16112.488833333226,38.91853708164508,89.96079957263147,0.7932471848017127,3924,35.57594291539245,1.1547956972257425,5,3,10,1,4,3612,387
240089197.4999997,15905.946499999978,38.80351920465832,85.15719992389378,0.764763498156766,3934,36.17183528215557,1.1582242240829945,4,5,9,2,4,3612,387
237891857.50000003,15759.457166666669,38.72109864584614,90.85635642720675,0.780357608869302,3931,35.63978631391503,1.1362788690648737,5,5,9,2,4,3612,387
231580027.50000215,15338.668500000142,38.480323510982764,86.54827804433019,0.7830281831828906,3938,34.91620111731844,1.3222813585710669,5,3,5,2,3,3612,387
