date,equity,high_vol,peak,drawdown
2010-01-04 07:15:00,1500000.0,False,1500000.0,0.0
2010-01-05 07:15:00,1500000.0,False,1500000.0,0.0
2010-01-06 07:15:00,1500000.0,False,1500000.0,0.0
2010-01-07 07:15:00,1500000.0,False,1500000.0,0.0
2010-01-08 07:15:00,1500000.0,False,1500000.0,0.0
2010-01-11 07:15:00,1500000.0,False,1500000.0,0.0
2010-01-12 07:15:00,1500000.0,False,1500000.0,0.0
2010-01-13 07:15:00,1500000.0,False,1500000.0,0.0
2010-01-14 07:15:00,1500000.0,False,1500000.0,0.0
2010-01-15 07:15:00,1500000.0,False,1500000.0,0.0
2010-01-18 07:15:00,1498485.0,False,1500000.0,0.101
2010-01-19 07:15:00,1474452.5,False,1500000.0,1.7031666666666667
2010-01-20 07:15:00,1520882.5,False,1520882.5,0.0
2010-01-21 07:15:00,1495257.5000000002,True,1520882.5,1.684877036851944
2010-01-22 07:15:00,1319662.5000000002,True,1520882.5,13.230476384599058
2010-01-25 07:15:00,1262952.5,True,1520882.5,16.95923255083808
2010-01-26 07:15:00,1209317.5,True,1520882.5,20.485803472654858
2010-01-27 07:15:00,1210347.5,True,1520882.5,20.418079634685782
2010-01-28 07:15:00,1271292.5000000002,False,1520882.5,16.410866717185566
2010-01-29 07:15:00,1184027.5000000002,False,1520882.5,22.1486538243421
2010-02-01 07:15:00,1153772.5000000002,False,1520882.5,24.1379593755599
2010-02-02 07:15:00,1207220.0000000005,False,1520882.5,20.62371682230544
2010-02-03 07:15:00,1233610.0000000007,False,1520882.5,18.888540041719153
2010-02-04 07:15:00,1212680.0000000005,False,1520882.5,20.26471472977035
2010-02-05 07:15:00,1065095.0000000005,False,1520882.5,29.96862019255265
2010-02-08 07:15:00,1083055.0000000005,False,1520882.5,28.787726862528796
2010-02-09 07:15:00,1096950.0000000007,True,1520882.5,27.874112562936276
2010-02-10 07:15:00,1104620.0000000005,False,1520882.5,27.36980009961319
2010-02-11 07:15:00,1099622.5000000002,False,1520882.5,27.698392216361214
2010-02-12 07:15:00,1108937.5,False,1520882.5,27.0859188661846
2010-02-15 07:15:00,1143395.0000000002,False,1520882.5,24.820293480923066
2010-02-16 07:15:00,1171270.0,False,1520882.5,22.987476021323147
2010-02-17 07:15:00,1237155.0,False,1520882.5,18.65545168676739
2010-02-18 07:15:00,1237124.999999999,False,1520882.5,18.657424225737422
2010-02-19 07:15:00,1239479.9999999988,False,1520882.5,18.502579916594552
2010-02-22 07:15:00,1302297.4999999986,False,1520882.5,14.37224769171855
2010-02-23 07:15:00,1265897.4999999986,False,1520882.5,16.765594975285822
2010-02-24 07:15:00,1237237.4999999986,False,1520882.5,18.650027204600054
2010-02-25 07:15:00,1225837.4999999986,False,1520882.5,19.399592013189803
2010-02-26 07:15:00,1259572.4999999986,False,1520882.5,17.181471941455133
2010-03-01 07:15:00,1270697.4999999986,False,1520882.5,16.449988740090138
2010-03-02 07:15:00,1338544.9999999984,False,1520882.5,11.988927481248659
2010-03-03 07:15:00,1326094.9999999981,False,1520882.5,12.80753115378748
2010-03-04 07:15:00,1325032.4999999981,False,1520882.5,12.877391908974023
2010-03-05 07:15:00,1360034.9999999981,False,1520882.5,10.575932065757996
2010-03-08 07:15:00,1407722.499999998,False,1520882.5,7.44041699473839
2010-03-09 07:15:00,1386684.999999998,False,1520882.5,8.823659947431976
2010-03-10 07:15:00,1427462.4999999972,False,1520882.5,6.142486352496186
2010-03-11 07:15:00,1442897.4999999972,False,1520882.5,5.127615052445064
2010-03-12 07:15:00,1464512.4999999972,False,1520882.5,3.7064007245794985
