long_bias,days,offset,initial_capital,final_equity,total_return_pct,cagr_pct,max_dd_pct,sharpe_ratio,total_trades,win_rate_pct,profit_factor,avg_trade
4,10,3,1500000,104906485.00000016,6893.765666666678,31.574461285960997,77.19682353163138,0.7263386867754491,3893,36.09041870023118,1.2984917208518787,24091.32642582474
4,9,3,1500000,98947237.50000012,6496.482500000007,31.07830053595284,81.99304335054501,0.7275568452324338,3904,36.37295081967213,1.2083679634780031,23263.53152981465
5,10,3,1500000,97208210.00000104,6380.547333333403,30.92823742258588,86.2630874912023,0.7337252124187884,3912,35.22494887525562,1.243213668254835,21324.06494454256
5,9,3,1500000,94266822.5,6184.454833333333,30.66860971691563,89.2325737550282,0.7352882043190633,3924,36.36595310907237,1.173818789209099,21301.66338845534
3,10,3,1500000,69896067.49999972,4559.7378333333145,28.16785162823987,64.2866538708172,0.7043146673217178,3863,36.24126326689102,1.319955905752161,16561.47177324546
5,5,3,1500000,67480550.00000039,4398.703333333359,27.87697932190676,92.82529742532466,0.7145363485473054,3929,34.588953932298296,1.1253354930394754,16153.581542258906
4,5,3,1500000,67236884.99999978,4382.458999999985,27.847098959776815,89.52185351459417,0.6906764816823284,3944,35.04056795131846,1.1417209199749252,16305.869356318428
3,9,3,1500000,65619940.00000041,4274.662666666694,27.646209717679216,71.93846148394921,0.7065453937519925,3899,35.9835855347525,1.2174516609941168,15674.22811323328
4,10,5,1500000,59367830.00000007,3857.8553333333375,26.823209004173364,81.1254953831174,0.6780598807522752,3895,35.866495507060336,1.2316228227685848,13384.00758760089
4,8,3,1500000,58081447.49999921,3772.0964999999474,26.6438583252927,81.99746612333271,0.6800865861033255,3915,36.06641123882503,1.1651974130831853,13562.02390108141
5,8,3,1500000,56251819.999999784,3650.121333333319,26.382258919639412,89.16417075365226,0.6974118063108203,3920,35.91836734693877,1.1390251220123044,12720.981183698766
5,10,5,1500000,52860747.500001445,3424.0498333334294,25.875629071994076,88.22221684805417,0.6959485728630339,3919,35.340648124521564,1.1861844552289025,11430.035341678233
4,9,5,1500000,51238024.99999994,3315.8683333333292,25.622342254994933,83.21294060280952,0.67206554099856,3921,35.4501402703392,1.140214769340486,11783.558605089103
4,10,4,1500000,49710292.5000004,3214.0195000000267,25.37692893514634,82.73485765971434,0.6606700933535768,3905,36.26120358514724,1.1857140922058442,11161.447804475294
5,4,3,1500000,48847412.500000775,3156.4941666667187,25.235180804370593,96.07405361693426,0.7036259633009943,3972,33.55991943605237,1.0487152114146876,11542.7162542282
4,4,3,1500000,47725435.00000017,3081.695666666678,25.04732549152797,94.28540837440367,0.6711450010793067,3968,33.341733870967744,1.0561804129514216,11472.029362535222
5,10,4,1500000,46966875.00000056,3031.1250000000373,24.917962932195813,89.70620094148877,0.6822060329453331,3906,35.5094726062468,1.1516340232815483,10163.75790442845
5,9,5,1500000,45539565.00000062,2935.9710000000414,24.66916471549283,90.16284530685492,0.6896707002957416,3921,35.093088497832184,1.116688483113359,10281.209817484116
3,10,5,1500000,43021184.99999978,2768.078999999985,24.211831499600844,71.53934660632336,0.6440857871409001,3884,35.53038105046344,1.2477399486677165,9859.537207504321
3,5,3,1500000,42027002.49999955,2701.800166666637,24.024362150290024,85.65659317955073,0.641202861244039,3920,35.17857142857143,1.13843170287438,10274.239627569428
4,9,4,1500000,38398687.49999987,2459.9124999999917,23.303054514113985,87.2164117481128,0.6451006179908657,3902,36.724756535110195,1.1130028589380754,8700.191943183569
3,8,3,1500000,37771435.00000003,2418.095666666669,23.171929729642613,72.08375703477496,0.6433811682460595,3899,35.9835855347525,1.167219751055029,8930.938777307416
5,9,4,1500000,36665372.500000246,2344.3581666666832,22.935668097198068,92.46464918639404,0.6691267747507048,3909,36.27526221540035,1.0935619050950443,8061.791684026359
3,9,5,1500000,36233920.000000305,2315.5946666666873,22.841695544528108,73.80821398786665,0.6364201289170229,3914,34.695963208993355,1.143321018958195,8305.13094021469
3,10,4,1500000,32638135.000000246,2075.875666666683,22.01508555186782,72.73973245242735,0.6178706156164605,3871,36.03719969000259,1.1936228768696928,7441.794291483638
4,7,3,1500000,32461969.999999892,2064.131333333326,21.972432410661135,83.27328781570075,0.6272807351730194,3921,35.80719204284621,1.1261676323364997,7555.677379836534
5,7,3,1500000,31039625.000000156,1969.3083333333436,21.619898673238037,90.03943797680357,0.6556731791978127,3915,35.40229885057472,1.1059951704468662,7056.02460969787
2,10,3,1500000,29848687.50000006,1889.912500000004,21.31289698917904,53.934768400657696,0.6464994408268514,3833,35.690060005217845,1.2932081722401427,7071.204145436444
3,4,3,1500000,29400252.50000043,1860.016833333362,21.194321135125538,92.81458837232218,0.6113502696657807,3942,33.13039066463724,1.0546660259114813,7077.730847285724
2,9,3,1500000,27465047.500000194,1731.0031666666796,20.662397537793133,59.210313668301495,0.6467572199216947,3851,34.48454946767073,1.188337674376656,6495.595246927701
3,9,4,1500000,25166927.499999776,1577.7951666666518,19.983162032786915,79.76552723997118,0.5978446188916156,3884,36.174047373841404,1.114624187061008,5714.043055047935
3,7,3,1500000,21341760.00000008,1322.784000000005,18.712053784784043,73.96010962182889,0.5742905106487715,3899,35.75275711720954,1.124870875212808,4927.784425329327
4,8,5,1500000,20903669.9999999,1293.5779999999934,18.55309758165071,83.42711965293319,0.5940648599626177,3924,34.76044852191641,1.0855709614019065,4613.843383698273
2,10,5,1500000,19213904.999999892,1180.9269999999929,17.909292968162326,59.633735404205126,0.5678959644632435,3843,34.55633619568046,1.2183554596341897,4302.344590985635
5,8,5,1500000,18909030.000000637,1160.6020000000426,17.787522258900857,90.28470736236123,0.6261434138963962,3920,34.64285714285714,1.0711085419149804,4072.8945693228666
2,5,3,1500000,16647657.499999959,1009.8438333333306,16.82230394045996,82.19200931562881,0.5428799028204734,3869,34.065650038769704,1.1108040564375647,3915.238433703806
5,8,4,1500000,16584809.999999467,1005.6539999999645,16.79376268599302,92.85588696799064,0.6123901765341473,3910,36.21483375959079,1.0614572452317508,3505.108010884866
4,8,4,1500000,16478819.999999547,998.5879999999698,16.745398935197642,87.98924229757384,0.5723028667842156,3915,35.581098339719034,1.0727001984442583,3564.9881725802848
2,9,5,1500000,15926872.50000006,961.7915000000039,16.488740921833454,66.72171334562384,0.5554111624830546,3862,33.73899533920249,1.1214800942781191,3525.9660265128477
2,8,3,1500000,15640552.499999944,942.7034999999963,16.35230512035024,63.15457111573859,0.5592418343602399,3851,35.237600623214746,1.1392622669106085,3570.9739338525055
4,6,3,1500000,14794325.000000063,886.2883333333375,15.93495852219544,87.3868250491619,0.5718898135735085,3927,35.370511841100075,1.092771316411342,3200.3002995456886
3,8,5,1500000,14385965.000000136,859.0643333333423,15.725509579273389,73.42769556939659,0.5360381235187177,3920,34.23469387755102,1.084853258059452,3091.3439807830086
5,6,3,1500000,13466564.999999838,797.7709999999892,15.232818104360678,92.07189662359657,0.6122019263175115,3922,35.160632330443654,1.0778053317170808,2829.9556332456928
2,10,4,1500000,13354437.49999993,790.2958333333286,15.170591948665502,59.24396438717775,0.524357300822942,3804,34.64773922187172,1.1603863182541607,2914.021424815962
2,4,3,1500000,11682902.500000082,678.8601666666722,14.17995330649575,92.06934467646498,0.5072094354965171,3869,32.23055052985268,1.0416369680417292,2632.0599638149715
3,8,4,1500000,10246144.999999756,583.076333333317,13.216099805357118,81.87525406113872,0.5017717984364037,3894,35.54185927067283,1.067140301056639,2117.3062630290387
2,9,4,1500000,10159132.500000032,577.2755000000021,13.153740001145199,75.47563342906373,0.49558467978451276,3848,35.08316008316008,1.0891192289686293,2118.4475589648055
3,6,3,1500000,9935539.999999953,562.3693333333302,12.991175620652996,81.18098739620501,0.5020726776987442,3906,34.86943164362519,1.0865398829688826,2079.404984840368
2,7,3,1500000,8977567.499999965,498.5044999999976,12.253510271434042,67.46281559410396,0.4690967337426082,3848,34.58939708939709,1.0961112329715568,1892.1948702327738
1,10,3,1500000,8137672.500000003,442.5115000000002,11.543461553234469,43.430702427454015,0.482947533808165,3742,33.43132014965259,1.1986628987332293,1714.3326368981095
1,9,3,1500000,7443827.500000012,396.2551666666675,10.903123275779848,62.09287362846789,0.4778870755439692,3768,32.324840764331206,1.123709652821503,1533.6983431907818
2,8,5,1500000,6132822.500000027,308.85483333333514,9.523786155440517,71.74987631124766,0.42139863069708094,3863,33.49728190525498,1.0610461119685712,1128.0497177796135
5,7,4,1500000,5711005.000000246,280.73366666668306,9.02074925307723,94.12012908894592,0.5442125720575823,3916,35.010214504596526,1.0271216361909812,987.6585131282757
4,7,5,1500000,5475709.99999997,265.0473333333313,8.724833772807838,85.93590755327372,0.49285949920605165,3919,34.21791273284001,1.0348513737609857,928.1013602371004
4,7,4,1500000,5359707.499999868,257.3138333333245,8.574539955825244,90.03568742294551,0.48493829815136874,3910,35.089514066496164,1.0302891440098298,919.8096575113697
1,10,5,1500000,5259962.500000023,250.6641666666682,8.442856323785342,54.909235789054065,0.3860882391886564,3778,33.165696135521436,1.1223395181985971,935.908897773818
5,7,5,1500000,5135272.500000052,242.35150000000348,8.274915221612478,90.96419864469357,0.5479086353185485,3929,33.85085263425808,1.0296940313915386,837.9270159164518
1,9,5,1500000,4457729.999999982,197.18199999999882,7.289714785103807,73.00471696076934,0.36935855388819966,3791,32.445265101556316,1.0659066854504178,734.8601951991544
2,6,3,1500000,4150389.999999982,176.69266666666545,6.795715668641078,77.88154537135725,0.37711874343442436,3849,33.619121849831124,1.052733745698945,672.3423111342023
1,8,3,1500000,4143029.9999999343,176.20199999999562,6.783470983756268,67.69703359802612,0.35625799520446194,3783,32.24953740417658,1.070723105756032,683.2024848004133
1,5,3,1500000,4107932.5000000345,173.86216666666897,6.724798659140641,82.59942186632325,0.36238351458166174,3802,32.03577064702788,1.0511152687322067,686.0093371909619
2,8,4,1500000,3990962.5000000284,166.06416666666857,6.5258167906219855,81.53530700905962,0.36946180460857087,3849,33.93089114055599,1.039326647043663,606.3012398602843
3,7,5,1500000,3650592.499999959,143.3728333333306,5.91411976360634,79.67025039361766,0.4046735461826672,3912,33.97239263803681,1.0261949771165235,497.3637503899252
1,10,4,1500000,3477569.999999995,131.83799999999965,5.5824104900144444,61.70968406168698,0.31983091964183064,3732,32.636655948553056,1.074334821711452,493.98939911575724
3,7,4,1500000,3252077.5000000773,116.80516666667182,5.126133800114885,87.31711279246785,0.39318397080505196,3900,34.38461538461539,1.0212589359435909,413.63936965813144
1,4,3,1500000,3039977.500000014,102.6651666666676,4.669096047166055,93.55446355196175,0.34302715977407966,3796,32.534246575342465,1.0167192101909368,409.90582191780857
1,9,4,1500000,2578615.0000000256,71.90766666666838,3.562014387318624,78.62424603203043,0.27915345347304565,3781,32.87490081988892,1.0295479839531774,260.085112495333
1,7,3,1500000,2377482.5000000196,58.49883333333463,3.020116849832788,72.78149222328753,0.2522238585248224,3781,32.345940227453056,1.0294702264257911,224.06043374769072
1,8,5,1500000,1621709.99999998,8.113999999998665,0.5052696298715853,75.86605181643932,0.1922193093052333,3797,33.026073215696606,1.0023785487055168,17.55561870174336
2,7,5,1500000,1594832.500000048,6.3221666666698635,0.3968173946161002,79.17665930965376,0.26195400547445646,3855,33.437094682230864,1.000434472781156,4.602464332049725
0,5,4,1500000,-76232.50000000214,-105.08216666666681,0.0,105.06690683225699,-0.07786765325152917,3220,30.0,0.7592267747711102,-489.51319875776426
0,6,4,1500000,-17774.999999998792,-101.18499999999993,0.0,101.69460909907633,-0.11097715796685594,2843,28.315160042208937,0.7284166334902251,-533.0680619064367
2,5,4,1500000,-192507.50000001403,-112.83383333333425,0.0,104.19323673541292,0.21672488521073555,3775,32.211920529801326,0.9369692048612749,-447.11280353201187
5,6,5,1500000,-52375.00000007791,-103.49166666667186,0.0,100.33978310322742,0.1777577628334642,2985,32.22780569514238,0.960801392431996,-517.2906197655155
1,6,5,1500000,-32467.499999990483,-102.16449999999936,0.0,101.61034928720267,0.24457513822037383,3144,30.15267175572519,0.8497513049370926,-486.7064249363859
0,6,5,1500000,-39782.499999999476,-102.65216666666663,0.0,104.33728985045967,0.23922957449440924,2898,28.605935127674258,0.7478850093561442,-530.5452035886817
1,6,4,1500000,-22237.499999989508,-101.4824999999993,0.0,100.80869223691779,0.014240860053187183,3204,30.867665418227215,0.8617567269374312,-473.18586142321846
3,5,4,1500000,-96287.50000003207,-106.41916666666881,0.0,101.11669272234734,0.3525617566269907,3851,32.87457803168009,0.9653520940576035,-413.1091491387622
1,5,4,1500000,-107005.00000000522,-107.13366666666701,0.0,104.09687032165766,0.06159714851121857,3601,30.93585115245765,0.8791328930631315,-446.2663149125245
0,10,3,1500000,1392592.4999999953,-7.160500000000311,-0.4788281123536686,64.69644384633413,0.11016625208759294,3520,26.789772727272727,0.9881958329531824,-33.78764204545597
0,9,3,1500000,1267030.0000000144,-15.53133333333237,-1.0844868090937432,73.7409896236748,0.09386224926872462,3578,26.74678591391839,0.9824886151303548,-67.85175277489124
2,7,4,1500000,1226912.500000003,-18.205833333333132,-1.2898735659419014,87.35777694904571,0.2409841484170959,3841,33.87138765946368,0.9917025973984687,-83.0221707614498
1,6,3,1500000,1068129.999999999,-28.791333333333398,-2.169705393549537,81.65956127756684,0.15913953314997215,3777,31.66534286470744,0.9796712259891404,-114.34207042626288
1,8,4,1500000,936570.0000000169,-37.561999999998875,-2.9968935827149545,84.5206474246772,0.12130334676275999,3764,32.41232731137088,0.9739813614046385,-156.29848565355937
0,10,5,1500000,932264.9999999955,-37.8490000000003,-3.025760365977437,69.8754797751313,0.04351432991914718,3583,28.132849567401617,0.9395900749613002,-164.63488297914893
5,6,4,1500000,797385.0000000522,-46.84099999999653,-3.999880035980896,98.03120266175385,0.44927080567573213,3880,34.27835051546392,0.9889372232743954,-198.58678239335921
0,9,5,1500000,736627.4999999948,-50.89150000000034,-4.490147538499645,82.81453348886531,0.003828210706570145,3642,28.08896210873147,0.9410865694127915,-213.76235584843647
4,6,4,1500000,682202.4999999139,-54.51983333333907,-4.962566710621729,97.70462488935803,0.3779993770401413,3893,34.62625224762394,0.9852144868254619,-222.6737550915808
0,8,3,1500000,666384.9999999991,-55.57433333333339,-5.106485897777125,83.82656046110755,-0.03224615776424559,3572,27.0996640537514,0.9259908883613232,-233.37486002239623
0,5,3,1500000,554092.5000000009,-63.06049999999994,-6.231028193649523,90.45769187824258,0.09176436313951218,3717,29.028786655905296,0.942123814848218,-254.4646220069947
0,10,4,1500000,543094.9999999956,-63.79366666666696,-6.352389441785766,75.69155051446027,-0.04468496068586518,3476,26.611047180667434,0.8793653387807828,-277.8783084004616
0,4,3,1500000,480892.50000002986,-67.94049999999801,-7.085406478842071,96.71702308203332,0.12223611360079281,3767,31.4839394743828,0.9669174082502,-266.3379346960367
1,7,5,1500000,424817.49999999796,-71.67883333333347,-7.826641957099967,85.38913761729235,0.026072306990879396,3751,32.39136230338576,0.9386716151313966,-291.7508664356172
0,7,3,1500000,369102.49999999464,-75.39316666666703,-8.659975821522325,89.30645233817938,-0.10573357468116158,3570,27.086834733893557,0.8830223777688455,-316.77801120448305
0,9,4,1500000,368642.4999999984,-75.42383333333345,-8.66733398875742,86.26451259796376,-0.08913132265612478,3547,28.44657457005921,0.8870391581678273,-320.32562729066893
3,6,4,1500000,301787.4999999778,-79.8808333333348,-9.840400739838994,98.19485999609864,0.2621173624001251,3835,34.211212516297266,0.969271290329876,-316.2827574967425
0,8,5,1500000,266584.9999999985,-82.22766666666675,-10.559923172410656,87.30817438100271,-0.1653605344593969,3625,28.66206896551724,0.875064735338776,-341.47655172413937
5,5,4,1500000,257447.50000001336,-82.83683333333245,-10.76121706291271,99.19016018819043,0.476412539887555,3896,33.4958932238193,0.9822872586031673,-322.66635651950503
1,7,4,1500000,247462.50000000928,-83.50249999999939,-10.988969999113118,94.51917839428124,-0.01310984925572364,3712,32.165948275862064,0.9203906882161187,-339.64282507183617
0,6,3,1500000,142052.49999999627,-90.52983333333358,-14.124181261612357,93.05907422018196,-0.16048890918899916,3517,27.04009098663634,0.83617434762327,-386.1060562979815
0,8,4,1500000,127422.50000000285,-91.50516666666648,-14.72504305254001,94.38588440802997,-0.22123929324956612,3466,27.26485862665897,0.8278178387177978,-396.01197345643345
3,6,5,1500000,118302.50000001026,-92.11316666666598,-15.133174058861854,99.12221198591104,0.2429583792838623,3661,32.09505599562961,0.9489332361365521,-378.4307566238707
4,5,4,1500000,107784.99999992602,-92.81433333333827,-15.642102200265661,99.49220604757784,0.40733649805310834,3904,33.35040983606557,0.9781045634901547,-356.6124487705128
0,7,5,1500000,61982.49999999833,-95.86783333333344,-18.604079567047183,96.47579728355183,-0.2736119995905213,3479,28.83012359873527,0.8057518982308169,-413.3421960333433
4,6,5,1500000,46057.50000003117,-96.92949999999792,-20.15071521946654,99.7378118428486,0.303098894912306,3415,31.8887262079063,0.9586659177723642,-425.7518301610482
2,6,4,1500000,42205.00000000331,-97.18633333333312,-20.600042813046738,99.33507483368554,0.0537202017402023,3638,33.122594832325454,0.9337534855973625,-400.7133040131933
2,6,5,1500000,36690.000000007334,-97.5539999999995,-21.315093234701234,99.1643421677843,0.03630507502486433,3479,31.790744466800803,0.9178628278982239,-420.612244897956
0,7,4,1500000,149.99999999513966,-99.99000000000032,-44.843980006527836,100.04105233736311,-0.6045108889976325,3283,27.870849832470302,0.7660439893120494,-456.8534876637236
