date,open,high,low,close,volume,average,barCount,Change
2024-12-30 11:00:00-06:00,5968.0,5976.0,5966.5,5971.75,31901.0,5971.853147236763,11702,3.75
2025-05-09 12:15:00-05:00,5668.75,5679.25,5663.0,5674.25,28533.0,5673.168820313321,10725,5.5
2025-06-29 22:45:00-05:00,6248.75,6249.25,6247.5,6247.75,1156.0,6248.574221453288,485,-1.0
2025-06-30 15:00:00-05:00,6251.5,6254.5,6244.0,6246.25,60127.0,6251.075886041212,11210,-5.25
2025-07-01 14:45:00-05:00,6254.25,6260.75,6247.25,6249.0,117597.0,6251.797428931009,25248,-5.25
2025-07-02 14:45:00-05:00,6270.25,6276.5,6268.75,6275.25,108332.0,6274.005808533028,19367,5.0
